pile,ward,precinct,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15
Azeem,3,3,Azeem,Bullister,Mallon,Nolan,Sobrinho-Wheeler,Carlone,Siddiqui,McGovern,Skeadas,Williams,Zondervan,Moree,,,
Azeem,3,3,Azeem,Mallon,Siddiqui,Simmons,McGovern,McGuirk,Sobrinho-Wheeler,,,,,,,,
Azeem,3,3,Azeem,Zondervan,Siddiqui,Sobrinho-Wheeler,Mallon,Carlone,McGovern,Bullister,Eckstut,Nolan,,,,,
Azeem,3,3,Azeem,Sobrinho-Wheeler,Mallon,McGuirk,McGovern,Siddiqui,Simmons,,,,,,,,
Azeem,3,3,Azeem,,,,,,,,,,,,,,
Azeem,3,3,Azeem,Sobrinho-Wheeler,Siddiqui,Hicks,,,,,,,,,,,
Azeem,3,3,Azeem,Mallon,McGovern,Skeadas,Hicks,Sobrinho-Wheeler,Siddiqui,Zondervan,Simmons,,,,,,
Azeem,3,3,Azeem,Siddiqui,Simmons,Bullister,Nolan,Skeadas,,,,,,,,,
Azeem,3,3,Azeem,Sobrinho-Wheeler,Hicks,Siddiqui,Simmons,Mallon,Zondervan,Skeadas,Bullister,McGovern,McGuirk,Nolan,Toner,Williams,Pierre
Azeem,3,3,Azeem,Sobrinho-Wheeler,Bullister,Zondervan,Skeadas,Mallon,Hicks,Williams,Siddiqui,,,,,,
Azeem,3,3,Azeem,Sobrinho-Wheeler,Hicks,Siddiqui,Simmons,Mallon,Zondervan,Skeadas,Bullister,McGovern,McGuirk,Nolan,Toner,Williams,Pierre
Azeem,3,3,Azeem,Sobrinho-Wheeler,Mallon,McGuirk,McGovern,Siddiqui,Simmons,Toner,Hicks,Eckstut,Skeadas,Bullister,Pierre,Write-in #1,Write-in #2
Azeem,3,3,Azeem,McGovern,Mallon,Siddiqui,Sobrinho-Wheeler,McGuirk,Skeadas,,,,,,,,
Azeem,3,3,Azeem,McGovern,Simmons,Hicks,Sobrinho-Wheeler,McGuirk,Mallon,Siddiqui,Toner,Skeadas,Bullister,,,,
Azeem,3,3,Azeem,Hicks,Mallon,McGovern,McGuirk,Siddiqui,Simmons,Sobrinho-Wheeler,Toner,,,,,,
Azeem,3,3,Azeem,Sobrinho-Wheeler,Simmons,Siddiqui,Hicks,Toner,Mallon,McGuirk,McGovern,Bullister,Nolan,Williams,Zondervan,Skeadas,Moree
Azeem,3,3,Azeem,Mallon,Hicks,McGovern,McGuirk,Siddiqui,Simmons,Sobrinho-Wheeler,Toner,,,,,,
